anchor,positive,negative
"def circular_shift(x, shift):
    s = str(x)
    if shift > len(s):
        return s[::-1]
    else:
        return s[len(s) - shift:] + s[:len(s) - shift]","def var1(x, shift):
    var2 = str(var3)
    if var4 > len(var2):
        return var2[::-1]
    else:
        return var2[len(var2) - var4:] + var2[:len(var2) - var4]
","def square_Sum(n):  
    return int(2*n*(n+1)*(2*n+1)/3)"
"def count_bidirectional(test_list):
  res = 0
  for idx in range(0, len(test_list)):
    for iidx in range(idx + 1, len(test_list)):
      if test_list[iidx][0] == test_list[idx][1] and test_list[idx][1] == test_list[iidx][0]:
        res += 1
  return res","def var1(test_list):
    var2 = 0
    for var3 in range(0, len(var4)):
        for var5 in range(var3 + 1, len(var4)):
            if var4[var5][0] == var4[var3][1] and var4[var3][1] == var4[var5][0
                ]:
                var2 += 1
    return var2
","def cube_nums(nums):
 cube_nums = list(map(lambda x: x ** 3, nums))
 return cube_nums"
"def find_solution(a, b, n):
	i = 0
	while i * a <= n:
		if (n - (i * a)) % b == 0: 
			return (i, (n - (i * a)) // b)
		i = i + 1
	return None","def var1(a, b, n):
    var2 = 0
    while var2 * var3 <= var4:
        if (var4 - var2 * var3) % var5 == 0:
            return var2, (var4 - var2 * var3) // var5
        var2 = var2 + 1
    return None
","
def multiply(a, b):
    return abs(a % 10) * abs(b % 10)"
"def power(a,b):
	if b==0:
		return 1
	elif a==0:
		return 0
	elif b==1:
		return a
	else:
		return a*power(a,b-1)","def var1(a, b):
    if var2 == 0:
        return 1
    elif var3 == 0:
        return 0
    elif var2 == 1:
        return var3
    else:
        return var3 * var1(var3, var2 - 1)
","def dog_age(h_age):
 if h_age < 0:
 	exit()
 elif h_age <= 2:
	 d_age = h_age * 10.5
 else:
	 d_age = 21 + (h_age - 2)*4
 return d_age"
"def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength","def var1(lst):
    var2 = max(len(var3) for var3 in var4)
    return var2
","def check_integer(text):
 text = text.strip()
 if len(text) < 1:
    return None
 else:
     if all(text[i] in ""0123456789"" for i in range(len(text))):
          return True
     elif (text[0] in ""+-"") and \
         all(text[i] in ""0123456789"" for i in range(1,len(text))):
         return True
     else:
        return False"
"def drop_empty(dict1):
  dict1 = {key:value for (key, value) in dict1.items() if value is not None}
  return dict1","def var1(dict1):
    var2 = {var3: var4 for var3, var4 in var2.items() if var4 is not None}
    return var2
","def digit_distance_nums(n1, n2):
         return sum(map(int,str(abs(n1-n2))))"
"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s","def var1(s, ch):
    for var2 in range(len(var3)):
        if var3[var2] == var4:
            var3 = var3[0:var2] + var3[var2 + 1:]
            break
    for var2 in range(len(var3) - 1, -1, -1):
        if var3[var2] == var4:
            var3 = var3[0:var2] + var3[var2 + 1:]
            break
    return var3
","
def f(n):
    ret = []
    for i in range(1,n+1):
        if i%2 == 0:
            x = 1
            for j in range(1,i+1): x *= j
            ret += [x]
        else:
            x = 0
            for j in range(1,i+1): x += j
            ret += [x]
    return ret"
"def even_odd_palindrome(n):
    def is_palindrome(n):
        return str(n) == str(n)[::-1]

    even_palindrome_count = 0
    odd_palindrome_count = 0

    for i in range(1, n+1):
        if i%2 == 1 and is_palindrome(i):
                odd_palindrome_count += 1
        elif i%2 == 0 and is_palindrome(i):
            even_palindrome_count += 1
    return (even_palindrome_count, odd_palindrome_count)","def var1(n):

    def var2(n):
        return str(var3) == str(var3)[::-1]
    var4 = 0
    var5 = 0
    for var6 in range(1, var3 + 1):
        if var6 % 2 == 1 and var2(var6):
            var5 += 1
        elif var6 % 2 == 0 and var2(var6):
            var4 += 1
    return var4, var5
","
def is_happy(s):
    if len(s) < 3:
      return False

    for i in range(len(s) - 2):
      
      if s[i] == s[i+1] or s[i+1] == s[i+2] or s[i] == s[i+2]:
        return False
    return True"
"from operator import eq
def count_same_pair(nums1, nums2):
    result = sum(map(eq, nums1, nums2))
    return result","from operator import eq


def var1(nums1, nums2):
    var2 = sum(map(var3, var4, var5))
    return var2
","import math
def wind_chill(v,t):
 windchill = 13.12 + 0.6215*t -  11.37*math.pow(v, 0.16) + 0.3965*t*math.pow(v, 0.16)
 return int(round(windchill, 0))"
"def sum_negativenum(nums):
  sum_negativenum = list(filter(lambda nums:nums<0,nums))
  return sum(sum_negativenum)","def var1(nums):
    var1 = list(filter(lambda nums: var2 < 0, var2))
    return sum(var1)
","def move_num(test_str):
  res = ''
  dig = ''
  for ele in test_str:
    if ele.isdigit():
      dig += ele
    else:
      res += ele
  res += dig
  return (res) "
"import heapq as hq
def heap_sort(iterable):
    h = []
    for value in iterable:
        hq.heappush(h, value)
    return [hq.heappop(h) for i in range(len(h))]","import heapq as hq


def var1(iterable):
    var2 = []
    for var3 in var4:
        var5.heappush(var2, var3)
    return [var5.heappop(var2) for var6 in range(len(var2))]
","def difference(n) :  
    S = (n*(n + 1))//2;  
    res = S*(S-1);  
    return res;  "
"def fix_spaces(text):
    new_text = """"
    i = 0
    start, end = 0, 0
    while i < len(text):
        if text[i] == "" "":
            end += 1
        else:
            if end - start > 2:
                new_text += ""-""+text[i]
            elif end - start > 0:
                new_text += ""_""*(end - start)+text[i]
            else:
                new_text += text[i]
            start, end = i+1, i+1
        i+=1
    if end - start > 2:
        new_text += ""-""
    elif end - start > 0:
        new_text += ""_""
    return new_text","def var1(text):
    var2 = ''
    var3 = 0
    var4, var5 = 0, 0
    while var3 < len(var6):
        if var6[var3] == ' ':
            var5 += 1
        else:
            if var5 - var4 > 2:
                var2 += '-' + var6[var3]
            elif var5 - var4 > 0:
                var2 += '_' * (var5 - var4) + var6[var3]
            else:
                var2 += var6[var3]
            var4, var5 = var3 + 1, var3 + 1
        var3 += 1
    if var5 - var4 > 2:
        var2 += '-'
    elif var5 - var4 > 0:
        var2 += '_'
    return var2
","def count_Primes_nums(n):
    ctr = 0
    for num in range(n):
        if num <= 1:
            continue
        for i in range(2,num):
            if (num % i) == 0:
                break
        else:
            ctr += 1
    return ctr"
"def unique_sublists(list1):
    result ={}
    for l in list1: 
        result.setdefault(tuple(l), list()).append(1) 
    for a, b in result.items(): 
        result[a] = sum(b)
    return result","def var1(list1):
    var2 = {}
    for var3 in var4:
        var2.setdefault(tuple(var3), list()).append(1)
    for var5, var6 in var2.items():
        var2[var5] = sum(var6)
    return var2
","
def car_race_collision(n: int):
    return n**2"
"def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total","def var1(data_list):
    var2 = 0
    for var3 in var4:
        if type(var3) == type([]):
            var2 = var2 + var1(var3)
        else:
            var2 = var2 + var3
    return var2
","def reverse_vowels(str1):
	vowels = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			vowels += char
	result_string = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			result_string += vowels[-1]
			vowels = vowels[:-1]
		else:
			result_string += char
	return result_string"
"def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0]","def var1(n):
    var2 = [[(0) for var3 in range(var4 + 1)] for var5 in range(var4 + 1)]
    var2[0][0] = 1
    for var3 in range(1, var4 + 1):
        var2[var3][0] = var2[var3 - 1][var3 - 1]
        for var5 in range(1, var3 + 1):
            var2[var3][var5] = var2[var3 - 1][var5 - 1] + var2[var3][var5 - 1]
    return var2[var4][0]
","def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums"
"def remove_kth_element(list1, L):
    return  list1[:L-1] + list1[L:]","def var1(list1, L):
    return var2[:var3 - 1] + var2[var3:]
","def split_two_parts(list1, L):
    return list1[:L], list1[L:]"
"def harmonic_sum(n):
  if n < 2:
    return 1
  else:
    return 1 / n + (harmonic_sum(n - 1))","def var1(n):
    if var2 < 2:
        return 1
    else:
        return 1 / var2 + var1(var2 - 1)
","def closest_integer(value):
    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res
"
"def triangle_area(a, h):
    return a * h / 2.0","def var1(a, h):
    return var2 * var3 / 2.0
","
def next_smallest(lst):
    lst = sorted(set(lst))
    return None if len(lst) < 2 else lst[1]"
"def find(n,m):  
    q = n//m 
    return (q)","def var1(n, m):
    var2 = var3 // var4
    return var2
","
def max_fill(grid, capacity):
    import math
    return sum([math.ceil(sum(arr)/capacity) for arr in grid])"
"def common_element(list1, list2):
     result = False
     for x in list1:
         for y in list2:
             if x == y:
                 result = True
                 return result","def var1(list1, list2):
    var2 = False
    for var3 in var4:
        for var5 in var6:
            if var3 == var5:
                var2 = True
                return var2
","def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos"
"def amicable_numbers_sum(limit):
    if not isinstance(limit, int):
        return ""Input is not an integer!""
    if limit < 1:
        return ""Input must be bigger than 0!""
    amicables = set()
    for num in range(2, limit+1):
        if num in amicables:
            continue
        sum_fact = sum([fact for fact in range(1, num) if num % fact == 0])
        sum_fact2 = sum([fact for fact in range(1, sum_fact) if sum_fact % fact == 0])
        if num == sum_fact2 and num != sum_fact:
            amicables.add(num)
            amicables.add(sum_fact2)
    return sum(amicables)","def var1(limit):
    if not isinstance(var2, int):
        return 'Input is not an integer!'
    if var2 < 1:
        return 'Input must be bigger than 0!'
    var3 = set()
    for var4 in range(2, var2 + 1):
        if var4 in var3:
            continue
        var5 = sum([var6 for var6 in range(1, var4) if var4 % var6 == 0])
        var7 = sum([var6 for var6 in range(1, var5) if var5 % var6 == 0])
        if var4 == var7 and var4 != var5:
            var3.add(var4)
            var3.add(var7)
    return sum(var3)
","def count_up_to(n):
    primes = []
    for i in range(2, n):
        is_prime = True
        for j in range(2, i):
            if i % j == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(i)
    return primes
"
"def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)","def var1(number):
    var2 = [1]
    for var3 in range(2, var4):
        if var4 % var3 == 0:
            var2.append(var3)
    return sum(var2)
","def remove_length(test_str, K):
  temp = test_str.split()
  res = [ele for ele in temp if len(ele) != K]
  res = ' '.join(res)
  return (res) "
"def Find_Min(lst): 
    return min(lst, key=len)","def var1(lst):
    return min(var2, key=len)
","def unique_sublists(list1):
    result ={}
    for l in  list1: 
        result.setdefault(tuple(l), list()).append(1) 
    for a, b in result.items(): 
        result[a] = sum(b)
    return result"
"def get_Inv_Count(arr): 
    inv_count = 0
    for i in range(len(arr)): 
        for j in range(i + 1, len(arr)): 
            if (arr[i] > arr[j]): 
                inv_count += 1
    return inv_count","def var1(arr):
    var2 = 0
    for var3 in range(len(var4)):
        for var5 in range(var3 + 1, len(var4)):
            if var4[var3] > var4[var5]:
                var2 += 1
    return var2
","
def anti_shuffle(s):
    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])"
"def unique_sublists(list1):
    result ={}
    for l in  list1: 
        result.setdefault(tuple(l), list()).append(1) 
    for a, b in result.items(): 
        result[a] = sum(b)
    return result","def var1(list1):
    var2 = {}
    for var3 in var4:
        var2.setdefault(tuple(var3), list()).append(1)
    for var5, var6 in var2.items():
        var2[var5] = sum(var6)
    return var2
","def cummulative_sum(test_list):
  res = sum(map(sum, test_list))
  return (res)"
"from operator import itemgetter 
def index_minimum(test_list):
  res = min(test_list, key = itemgetter(1))[0]
  return (res)","from operator import itemgetter


def var1(test_list):
    var2 = min(var3, key=var4(1))[0]
    return var2
","import math
def wind_chill(v,t):
 windchill = 13.12 + 0.6215*t -  11.37*math.pow(v, 0.16) + 0.3965*t*math.pow(v, 0.16)
 return int(round(windchill, 0))"
"def jacobsthal_num(n): 
	dp = [0] * (n + 1) 
	dp[0] = 0
	dp[1] = 1
	for i in range(2, n+1): 
		dp[i] = dp[i - 1] + 2 * dp[i - 2] 
	return dp[n]","def var1(n):
    var2 = [0] * (var3 + 1)
    var2[0] = 0
    var2[1] = 1
    for var4 in range(2, var3 + 1):
        var2[var4] = var2[var4 - 1] + 2 * var2[var4 - 2]
    return var2[var3]
","def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result"
